KeyCode=aeioujklmnpstw

# ni li pali tan nasin Usisa: // Compiled from the UCSUR specification:
# https://www.kreativekorp.com/ucsur/charts/sitelen.html
[Data]

# nimi pu // The original set of 120 words published in Toki Pona: The Language of Good
a		󱤀
akesi	󱤁
ala		󱤂
alasa	󱤃
ale		󱤄
anpa	󱤅
ante	󱤆
anu		󱤇
awen	󱤈
e		󱤉
en		󱤊
esun	󱤋
ijo		󱤌
ike		󱤍
ilo		󱤎
insa	󱤏
jaki	󱤐
jan		󱤑
jelo	󱤒
jo		󱤓
kala	󱤔
kalama	󱤕
kama	󱤖
kasi	󱤗
ken		󱤘
kepeken	󱤙
kili	󱤚
kiwen	󱤛
ko		󱤜
kon		󱤝
kule	󱤞
kulupu	󱤟
kute	󱤠
la		󱤡
lape	󱤢
laso	󱤣
lawa	󱤤
len		󱤥
lete	󱤦
li		󱤧
lili	󱤨
linja	󱤩
lipu	󱤪
loje	󱤫
lon		󱤬
luka	󱤭
lukin	󱤮
lupa	󱤯
ma		󱤰
mama	󱤱
mani	󱤲
meli	󱤳
mi		󱤴
mije	󱤵
moku	󱤶
moli	󱤷
monsi	󱤸
mu		󱤹
mun		󱤺
musi	󱤻
mute	󱤼
nanpa	󱤽
nasa	󱤾
nasin	󱤿
nena	󱥀
ni		󱥁
nimi	󱥂
noka	󱥃
o		󱥄
olin	󱥅
ona		󱥆
open	󱥇
pakala	󱥈
pali	󱥉
palisa	󱥊
pan		󱥋
pana	󱥌
pi		󱥍
pilin	󱥎
pimeja	󱥏
pini	󱥐
pipi	󱥑
poka	󱥒
poki	󱥓
pona	󱥔
pu		󱥕
sama	󱥖
seli	󱥗
selo	󱥘
seme	󱥙
sewi	󱥚
sijelo	󱥛
sike	󱥜
sin		󱥝
sina	󱥞
sinpin	󱥟
sitelen	󱥠
sona	󱥡
soweli	󱥢
suli	󱥣
suno	󱥤
supa	󱥥
suwi	󱥦
tan		󱥧
taso	󱥨
tawa	󱥩
telo	󱥪
tenpo	󱥫
toki	󱥬
tomo	󱥭
tu		󱥮
unpa	󱥯
uta		󱥰
utala	󱥱
walo	󱥲
wan		󱥳
waso	󱥴
wawa	󱥵
weka	󱥶
wile	󱥷

# nimi ku suli // Major words published in the Toki Pona Dictionary
namako			󱥸
kin				󱥹
oko				󱥺
kipisi			󱥻
leko			󱥼
monsuta			󱥽
tonsi			󱥾
jasima			󱥿
kijetesantakalu	󱦀
soko			󱦁
meso			󱦂
epiku			󱦃
kokosila		󱦄
lanpan			󱦅
n				󱦆
misikeke		󱦇
ku				󱦈

# nimi ku lili pi nasin Usisa // Minor words published in the Toki Pona Dictionary that the UCSUR includes
pake	󱦠
apeja	󱦡
majuna	󱦢
powe	󱦣
